date;Evènement;Etat
2021-12-01 09:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-01 09:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-01 10:19:08;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-01 10:19:08;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-01 10:22:08;Changement d’état de la filtration;1 Marche AUTO
2021-12-01 10:22:08;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-01 10:44:08;Changement d’état de la filtration;2 Marche manuel ON
2021-12-01 10:53:28;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-01 10:53:28;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-01 11:02:08;Changement d’état de la filtration;2 Marche manuel ON
2021-12-01 11:02:08;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-01 12:26:22;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-01 12:26:23;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-01 12:27:59;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-01 12:28:00;Changement d’état de la filtration;2 Marche manuel ON
2021-12-01 12:36:39;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-01 12:36:39;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-01 12:38:18;Changement d’état de la filtration;2 Marche manuel ON
2021-12-01 12:38:18;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-01 12:58:07;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-01 12:58:07;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-01 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-01 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-01 13:02:36;Changement d’état de la filtration;-3 Arrêt pause filtration
2021-12-01 13:02:36;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-01 13:04:49;Changement d’état de la filtration;1 Marche AUTO
2021-12-01 13:04:49;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-01 17:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-01 17:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-02 08:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-02 08:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-02 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-02 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-02 13:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-02 13:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-02 17:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-02 17:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-03 08:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-03 08:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-03 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-03 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
