date;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;waterTemp;airTemp
2022-06-02 07:00:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;16.809235;17.997322
2022-06-02 07:02:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;16.809235;17.997322
2022-06-02 07:04:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;16.809235;17.997322
2022-06-02 07:06:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;16.809235;17.997322
2022-06-02 07:08:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;16.809235;17.997322
2022-06-02 07:10:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;16.809235;17.997322
2022-06-02 07:12:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;16.809235;17.997322
2022-06-02 07:14:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.362345;19.210499
2022-06-02 07:16:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.362345;19.210499
2022-06-02 07:18:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.362345;19.210499
2022-06-02 07:20:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.362345;19.210499
2022-06-02 07:22:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.362345;19.210499
2022-06-02 07:24:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.362345;19.210499
2022-06-02 07:26:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.362345;19.210499
2022-06-02 07:28:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.362345;19.210499
2022-06-02 07:30:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;20.137894
2022-06-02 07:32:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;20.137894
2022-06-02 07:34:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;20.137894
2022-06-02 07:36:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;20.137894
2022-06-02 07:38:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;20.137894
2022-06-02 07:40:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;20.137894
2022-06-02 07:42:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;20.137894
2022-06-02 07:44:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.051706
2022-06-02 07:46:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.051706
2022-06-02 07:48:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.051706
2022-06-02 07:50:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.051706
2022-06-02 07:52:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.051706
2022-06-02 07:54:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.051706
2022-06-02 07:56:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.051706
2022-06-02 07:58:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.051706
2022-06-02 08:00:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.851635
2022-06-02 08:02:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.851635
2022-06-02 08:04:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.851635
2022-06-02 08:06:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.851635
2022-06-02 08:08:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.851635
2022-06-02 08:10:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.851635
2022-06-02 08:12:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.5;21.851635
2022-06-02 08:14:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.552267;22.44244
2022-06-02 08:16:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.552267;22.44244
2022-06-02 08:18:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.552267;22.44244
2022-06-02 08:20:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.552267;22.44244
2022-06-02 08:22:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.552267;22.44244
2022-06-02 08:24:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.552267;22.44244
2022-06-02 08:26:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.552267;22.44244
2022-06-02 08:28:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.552267;22.44244
2022-06-02 08:30:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.6;23.051367
2022-06-02 08:32:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.6;23.051367
2022-06-02 08:34:00;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;23.6;23.051367
