date;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_filtration_5 Marche hivernage;CE_hivernage_0 Arret;CE_hivernage_2 Actif activé;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_volet_0 Position ouvert;CE_volet_1 position fermé;airTemp;waterTemp;baignade
2022-03-08 17:58:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;14.741435;9.9737616;0
2022-03-08 21:20:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;7.7568574;5.8568635;0
2022-03-08 21:32:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;7.6568689;5.7235355;0
2022-03-08 21:34:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;7.6568689;5.7235355;0
2022-03-08 22:44:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;7.0666642;5.3246446;0
2022-03-09 00:48:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;6.0268531;5.4537263;0
2022-03-09 03:10:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4.9226246;3.7226353;0
2022-03-09 05:50:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 06:24:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 08:04:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 11:10:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 12:14:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 13:12:00;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;4.4666662;6.155086;0
2022-03-09 14:38:00;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 14:48:00;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 15:00:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 17:32:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4.4666662;6.155086;0
2022-03-09 18:54:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;13.330426;10.057257;0
2022-03-09 22:34:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;8.5914679;6.3914809;0
2022-03-10 00:46:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;8.0;6.0626297;0
2022-03-10 01:10:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;7.9666643;5.9480081;0
2022-03-10 04:18:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;7.017951;4.6999998;0
2022-03-10 08:56:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;15.164801;6.9703445;0
2022-03-10 09:04:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;16.433025;7.5664697;0
2022-03-10 09:22:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;17.58692;8.1546335;0
2022-03-10 10:18:00;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;21.335447;6.976491;0
2022-03-10 12:44:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;26.307587;12.945486;0
2022-03-10 12:56:00;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;26.307587;12.945486;0
2022-03-10 14:42:00;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;24.657078;7.5999999;0
2022-03-10 14:54:00;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;23.857147;7.6386819;0
