date;type;value
2021-12-01 09:00:00;waterTemp;5.8000002
2021-12-01 09:15:00;waterTemp;5.5057402
2021-12-01 09:30:00;waterTemp;5.53334
2021-12-01 09:45:00;waterTemp;5.5666785
2021-12-01 10:00:00;waterTemp;5.5976787
2021-12-01 10:15:00;waterTemp;5.5999999
2021-12-01 10:30:00;waterTemp;5.5999999
2021-12-01 10:45:00;waterTemp;5.696578
2021-12-01 11:00:00;waterTemp;5.762229
2021-12-01 11:15:00;waterTemp;5.7711916
2021-12-01 11:30:00;waterTemp;5.7954717
2021-12-01 11:45:00;waterTemp;5.8287859
2021-12-01 12:00:00;waterTemp;5.9000001
2021-12-01 12:15:00;waterTemp;5.9000001
2021-12-01 12:30:00;waterTemp;5.9610314
2021-12-01 12:45:00;waterTemp;6.0
2021-12-01 13:00:00;waterTemp;6.0276685
2021-12-01 13:15:00;waterTemp;6.0399666
2021-12-01 13:30:00;waterTemp;6.0334268
2021-12-01 13:45:00;waterTemp;6.0599222
2021-12-01 14:00:00;waterTemp;6.0666642
2021-12-01 14:15:00;waterTemp;6.0999999
2021-12-01 14:30:00;waterTemp;6.0741997
2021-12-01 14:45:00;waterTemp;6.0591292
2021-12-01 15:00:00;waterTemp;6.0999999
2021-12-01 15:15:00;waterTemp;6.0999999
2021-12-01 15:30:00;waterTemp;6.0999999
2021-12-01 15:45:00;waterTemp;6.0999999
2021-12-01 16:00:00;waterTemp;6.0999999
2021-12-01 16:15:00;waterTemp;6.0999999
2021-12-01 16:30:00;waterTemp;6.0999999
2021-12-01 16:45:00;waterTemp;6.0999999
2021-12-01 17:00:00;waterTemp;6.0999999
2021-12-01 17:15:00;waterTemp;6.0999999
2021-12-01 17:30:00;waterTemp;6.043406
2021-12-01 17:45:00;waterTemp;6.0
2021-12-01 18:00:00;waterTemp;5.9100914
2021-12-01 18:15:00;waterTemp;5.8438478
2021-12-01 18:30:00;waterTemp;5.8000002
2021-12-01 18:45:00;waterTemp;5.7443199
2021-12-01 19:00:00;waterTemp;5.6999998
2021-12-01 19:15:00;waterTemp;5.6778708
2021-12-01 19:30:00;waterTemp;5.5999999
2021-12-01 19:45:00;waterTemp;5.5999999
2021-12-01 20:00:00;waterTemp;5.57897
2021-12-01 20:15:00;waterTemp;5.5
2021-12-01 20:30:00;waterTemp;5.5
2021-12-01 20:45:00;waterTemp;5.4800677
2021-12-01 21:00:00;waterTemp;5.4000001
2021-12-01 21:15:00;waterTemp;5.4000001
2021-12-01 21:30:00;waterTemp;5.4000001
2021-12-01 21:45:00;waterTemp;5.3476119
2021-12-01 22:00:00;waterTemp;5.3666677
2021-12-01 22:15:00;waterTemp;5.3000002
2021-12-01 22:30:00;waterTemp;5.3000002
2021-12-01 22:45:00;waterTemp;5.3000002
2021-12-01 23:00:00;waterTemp;5.3333368
2021-12-01 23:15:00;waterTemp;5.3512201
2021-12-01 23:30:00;waterTemp;5.4000001
2021-12-01 23:45:00;waterTemp;5.4000001
2021-12-02 00:00:00;waterTemp;5.4000001
2021-12-02 00:15:00;waterTemp;5.4165983
2021-12-01 09:00:00;airTemp;9.8628588
2021-12-01 09:15:00;airTemp;10.0
2021-12-01 09:30:00;airTemp;10.128743
2021-12-01 09:45:00;airTemp;10.36206
2021-12-01 10:00:00;airTemp;10.625817
2021-12-01 10:15:00;airTemp;10.797112
2021-12-01 10:30:00;airTemp;10.989782
2021-12-01 10:45:00;airTemp;11.352958
2021-12-01 11:00:00;airTemp;11.686768
2021-12-01 11:15:00;airTemp;12.053131
2021-12-01 11:30:00;airTemp;12.253083
2021-12-01 11:45:00;airTemp;12.615181
2021-12-01 12:00:00;airTemp;13.07933
2021-12-01 12:15:00;airTemp;13.477727
2021-12-01 12:30:00;airTemp;13.783109
2021-12-01 12:45:00;airTemp;14.110771
2021-12-01 13:00:00;airTemp;14.388689
2021-12-01 13:15:00;airTemp;14.226004
2021-12-01 13:30:00;airTemp;13.800128
2021-12-01 13:45:00;airTemp;13.326953
2021-12-01 14:00:00;airTemp;13.020251
2021-12-01 14:15:00;airTemp;12.813543
2021-12-01 14:30:00;airTemp;12.521839
2021-12-01 14:45:00;airTemp;12.248703
2021-12-01 15:00:00;airTemp;12.2
2021-12-01 15:15:00;airTemp;12.082392
2021-12-01 15:30:00;airTemp;11.882404
2021-12-01 15:45:00;airTemp;11.683122
2021-12-01 16:00:00;airTemp;11.50858
2021-12-01 16:15:00;airTemp;11.26894
